Epoch,Entropy,G_Loss,D_Loss
0,1.0,0.052134815603494644,7.410706043243408
100,0.9886994082884974,-1.1110997200012207,-15.697225570678711
200,0.9913533102170101,-2.264955997467041,-15.74089241027832
300,0.9992954443621549,-3.282391309738159,-15.042219161987305
400,0.9744894033980523,-4.013217926025391,-15.027366638183594
500,0.9955927544527945,-4.391190528869629,-13.920249938964844
600,0.9946660886725552,-4.756642818450928,-12.687795639038086
700,0.9886994082884974,-5.204285621643066,-11.956039428710938
800,0.9785844853199951,-5.270105361938477,-11.398337364196777
900,0.9955927544527945,-5.460721015930176,-10.241475105285645
1000,0.9978415729996559,-5.705083847045898,-10.488248825073242
1100,0.9984144269374469,-5.932506561279297,-9.570796966552734
1200,0.9515082024691666,-5.549095630645752,-9.255075454711914
1300,0.9971803988942642,-5.669720649719238,-8.912416458129883
1400,0.9804957926024032,-5.948518753051758,-9.224621772766113
1500,0.9984144269374469,-5.902337074279785,-8.216516494750977
1600,0.985687679358613,-6.337806701660156,-7.436297416687012
1700,0.924669105974498,-6.060118198394775,-7.879446029663086
1800,0.9453732087003415,-6.459026336669922,-7.3306989669799805
1900,0.985687679358613,-6.5264410972595215,-7.662784576416016
2000,0.9964308234404788,-6.288792610168457,-7.321389675140381
2100,0.9996037156868482,-6.160528659820557,-7.471686363220215
2200,0.967661552439695,-6.562851428985596,-6.917626857757568
2300,0.9840471637045681,-6.153521537780762,-6.676283359527588
2400,0.9886994082884974,-6.423496246337891,-6.277087211608887
2500,0.9723051006568468,-6.3355512619018555,-6.468652725219727
2600,0.9872383624334873,-6.2967448234558105,-6.237654209136963
2700,0.9998238825988728,-6.1311540603637695,-5.578578472137451
2800,0.9886994082884974,-6.510158538818359,-5.960400104522705
2900,0.9978415729996559,-6.4084343910217285,-5.922590732574463
